company,idea,industry,subindustry,tags
"Applied Electrodynamics, Inc.",A new kind of camera that can see through walls.,Industrials,Industrials,Hard Tech|Hardware|Construction|Manufacturing|Defense
Apply Design,Helping realtors showcase the full potential of their properties,Real Estate and Construction,Real Estate and Construction,Generative AI|SaaS|Computer Vision|Proptech|E-commerce
Apportable,iOS porting,B2B,B2B -> Infrastructure,
Apprentice Health,We deploy sensors and software that increase hospital efficiency.,Healthcare,Healthcare -> Healthcare IT,Healthcare
Approxima,Your software should build itself.,B2B,"B2B -> Engineering, Product and Design",Enterprise Software|Infrastructure|AI
AppX,AppX helps social media creators launch their own mobile apps.,Education,Education,Education|SaaS|B2B
AptDeco,AptDeco is the easiest way to buy and sell used furniture,Consumer,Consumer -> Home and Personal,Marketplace|Logistics|Furniture
Apten,"Omnichannel AI agents that engage leads across SMS, voice, and email",B2B,B2B -> Marketing,Sales|Marketing|SMS|AI Assistant
Aptible,The No Infrastructure Platform as a Service,B2B,B2B -> Infrastructure,Developer Tools|DevSecOps|DevOps|Web Development|Cloud Computing
Apurata,Point of sale financing for Latin America's middle class.,Fintech,Fintech -> Credit and Lending,Fintech|E-commerce
Aqua,The AI-Native Turnkey Alternative Investment Platform (TAIP),Fintech,Fintech,Fintech|Finance|Investing|Investments
Aqua Voice,Frontier Voice Input - write 4x faster than typing.,Consumer,Consumer,Artificial Intelligence|Consumer|Productivity|AI
Aquarium Learning,We help ML teams improve their models by improving their datasets,B2B,B2B -> Infrastructure,Deep Learning|Developer Tools|Generative AI|Machine Learning|AI
AquaShield,AI water leak detection for buildings,Real Estate and Construction,Real Estate and Construction,
Ara,The Cloud Coding Agent,B2B,B2B -> Productivity,Developer Tools|Enterprise Software|Cloud Computing
Aragorn AI,Operating system for HR in the AI era,B2B,B2B -> Human Resources,
Aravolta,"Software to monitor, control, and optimize data centers.",B2B,B2B -> Infrastructure,Enterprise Software|Cloud Computing|Monitoring
Arbital,"The trading terminal for perps, memes, and stocks.",Fintech,Fintech -> Consumer Finance,Artificial Intelligence|Fintech|Crypto / Web3|Investing|Trading
Arc,aerial videography,Industrials,Industrials -> Drones,Robotics|Drones
Arc,Banking & Funding for Startups,Fintech,Fintech,Banking as a Service|Fintech|B2B|Neobank
ARC Prize Foundation,AI benchmarks that measure general intelligence and inspire new ideas,Industrials,Industrials,
Archal,"API sandboxes, built for AI agents",B2B,B2B -> Infrastructure,Artificial Intelligence|Developer Tools|API|Infrastructure
Archbee,TURN STATIC DOCS INTO INSTANT ANSWERS,B2B,"B2B -> Engineering, Product and Design",Developer Tools|B2B
Archer,Global payouts for the workforce powering AI,Fintech,Fintech -> Payments,Crypto / Web3|Neobank|AI
ArchForm,Replacing orthodontic braces with our clear aligner and software,Healthcare,Healthcare -> Medical Devices,Robotics|Health Tech|Medical Devices|3D Printing
Archil,The high-performance file system that connects AI to data,B2B,B2B -> Infrastructure,Developer Tools|Machine Learning|Big Data|Infrastructure|AI
ArchiLabs,AI Data Center Design,Real Estate and Construction,Real Estate and Construction -> Construction,SaaS|Construction|B2B|Proptech|AI
Archon,We help software companies sell to government.,Other,Government,GovTech|Compliance|Cybersecurity|Cloud Computing
Arcimus,A stream of engineering candidates who ship.,B2B,B2B -> Recruiting and Talent,Artificial Intelligence|Generative AI|B2B
Arctic Health,AI-native credentialing and contracting for healthcare,Healthcare,Healthcare -> Healthcare Services,
Arcus,Payment-as-a-service that helps any business launch payment solutions,Fintech,Fintech -> Banking and Exchange,Fintech|Payments|B2B
Arden,AI-native internal audit firm,B2B,B2B -> Finance and Accounting,
Ardent,Database sandboxes for Agents,B2B,B2B -> Infrastructure,
Ardis AI,Transform your text data into a searchable knowledge graph,B2B,B2B -> Infrastructure,Artificial Intelligence|Hard Tech
Arengu,Build frictionless signup flows in minutes,B2B,B2B,Developer Tools|SaaS|B2B
Ares Industries,Building low-cost cruise missiles,Industrials,Industrials -> Aviation and Space,Aerospace|Industrial
Arga Labs,Real-world sandboxes to test and train AI agents,B2B,B2B,
Argil,The video generation engine for the creator economy,Consumer,Consumer,Generative AI|Social Media
Argo,A social streaming platform powered by creators and fans,Consumer,Consumer -> Content,Crypto / Web3|Consumer|Entertainment|Social|Infrastructure
"Argon AI, Inc.",AI for Pharma Intelligence,Healthcare,Healthcare,
Argovox,Voice AI agents for patient billing and collections,Fintech,Fintech,Fintech|Healthcare|LegalTech|Call Center|AI Assistant
args,A better GItHub,B2B,B2B -> Productivity,Developer Tools|B2B
Argument Computer Corporation,Accelerate verifiable computing,B2B,B2B,Crypto / Web3|Security|Cryptography
Ariglad,Knowledge base maintenance on auto-pilot,B2B,B2B -> Operations,AI-Enhanced Learning|B2B|Customer Success|Customer Service|Customer Support
Arini,AI receptionist for dentists,Healthcare,Healthcare -> Healthcare IT,Artificial Intelligence|Health Tech|Dental|Call Center|AI
Arintra,Enterprise-grade AI for revenue assurance,Healthcare,Healthcare -> Healthcare IT,SaaS|Health Tech|Digital Health|Healthcare|Enterprise Software
Arist,Deliver effective learning at scale,B2B,B2B,Education|eLearning
Ark,Ark organizes the world's social information.,Consumer,Consumer -> Content,Media|Social
Arketa,Everything for your fitness or wellness business.,B2B,B2B -> Operations,SaaS|Fitness|Health & Wellness
Arlo Industries,"Track drones and missiles without radars - Accurate, Passive, Scalable",Industrials,Industrials -> Defense,Hard Tech|Hardware|Defense
Armature,Improve how users experience your product through AI Agents,B2B,"B2B -> Engineering, Product and Design",
Armilla AI,Liability insurance for generative AI and AI Agents,Fintech,Fintech -> Insurance,Artificial Intelligence|Generative AI|Insurance
Armory,"Continuous Deployment at any scale, for all developers.",B2B,B2B -> Infrastructure,Developer Tools|DevSecOps
arnata,AI workers for the logistics industry.,B2B,B2B -> Supply Chain and Logistics,Artificial Intelligence|Generative AI|B2B|Logistics|Supply Chain
Arpari,Multibank treasury management,Fintech,Fintech,Fintech|SaaS|Real Estate|Payments|Neobank
Arpio,Recover from any outage in 10 minutes or less.,B2B,B2B -> Infrastructure,Cloud Workload Protection|SaaS|B2B
ARQ,The global financial platform for affluent consumers in the Americas.,Fintech,Fintech,Fintech|Crypto / Web3
Array Labs,We're building satellites to create a real-time 3D map of the world.,Industrials,Industrials -> Aviation and Space,Satellites
Arrow,Modern Checkout Platform for D2C brands in Southeast Asia,Fintech,Fintech -> Payments,Fintech|E-commerce
Arroyo,Cloud-native stream processing,B2B,B2B -> Infrastructure,Developer Tools|SaaS|Open Source|Cloud Computing
Artemis Search,A search technology that actually finds what you're looking for.,B2B,B2B,Artificial Intelligence|Machine Learning|SaaS|B2B|Search
Arthena,Quantitative Investment in Art Assets,Fintech,Fintech -> Asset Management,Investing
Artie,Software that streams data from databases to warehouses in real-time,B2B,B2B -> Infrastructure,Developer Tools|SaaS|Data Engineering|Enterprise Software
Artifact,"An Collaborative, AI-native IDE for Hardware Engineers",B2B,"B2B -> Engineering, Product and Design",
Artifact,Personal podcasts with the people in your life,Consumer,Consumer -> Content,Marketplace|Podcasts
Artificial Societies,We build networks of AIs to simulate high-value audiences,B2B,B2B,Artificial Intelligence|B2B|Market Research
Artisan,"The AI BDR for enterprise revenue teams, plus a full AI sales team",B2B,B2B,Artificial Intelligence|B2B|Sales|Automation|AI Assistant
Artos,"Authoring documents for life sciences in minutes, not months.",B2B,B2B,
Arva AI,"AI Agents to scale AML, KYB and KYC operations",B2B,B2B,Artificial Intelligence|Fintech|B2B|Compliance|Regtech
Arylla,"We connect products to the internet using an invisible, chip-less tag",Industrials,Industrials -> Manufacturing and Robotics,IoT|Nanotechnology
Arzana,The autonomous ERP for every manufacturer,B2B,B2B -> Operations,
Ascen,EOR for the staffing industry,B2B,B2B -> Recruiting and Talent,SaaS|B2B|Compliance|HR Tech
Asendia AI,AI recruiters for staffing agencies,B2B,B2B,
Aseon Labs,Robotic pitstops for self-driving cars,Industrials,Industrials -> Manufacturing and Robotics,
Asha Health,We help medical practices become AI-native,Healthcare,Healthcare,
Asher Bio,We build better immunotherapies,Healthcare,Healthcare -> Therapeutics,Biotech
Ashr,Automated Multi-Modal Testing for Agents,B2B,"B2B -> Engineering, Product and Design",
Aside,The browser built to do real work for you,Consumer,Consumer,Artificial Intelligence|SaaS|Automation
aSim,Build and share apps with friends,Consumer,Consumer,Artificial Intelligence|Consumer|No-code|Consumer Products|AI
Asimov,Real-world human movement data for humanoid robots,Industrials,Industrials -> Manufacturing and Robotics,
Askdata,Frictionless Data,B2B,B2B -> Analytics,Artificial Intelligence
"AskMyClass, now Soundkins",Audio learning assistant for teachers and students.,Education,Education,AI-Enhanced Learning|Education
Aspect,Build UI fast.,B2B,"B2B -> Engineering, Product and Design",Developer Tools|SaaS
Aspect,Intelligent media storage for creative teams.,B2B,"B2B -> Engineering, Product and Design",
Aspire,All-in-one Finance OS for businesses,Fintech,Fintech -> Payments,Fintech|SaaS|Payments|B2B|Neobank
Aspora,Single account to manage money across the world,Fintech,Fintech -> Consumer Finance,Fintech
Assemble,AI Coworkers for IT teams,B2B,B2B,SaaS|Enterprise Software|AI
Assembled,"Pivoted to TenXList, a professional network of top college engineers.",Consumer,Consumer -> Social,Education|Recruiting
Assembly,Create remarkable client experiences,B2B,B2B -> Productivity,B2B|E-commerce|AI|AI Assistant
Assembly HOA,AI-native HOA Management Company,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Artificial Intelligence|Fintech|Real Estate|Housing|Proptech
AssemblyAI,The best way to build Voice AI apps,B2B,B2B -> Infrastructure,Artificial Intelligence|Developer Tools|Speech Recognition|API|AI
Asseta,Marketplace for industrial spare parts and capital equipment.,B2B,B2B,Marketplace|B2B
assistant-ui,Open Source React.js Library for AI Chat,B2B,B2B -> Infrastructure,Developer Tools|Generative AI|Chat|Web Development|AI Assistant
Assorted Bits,A mobile calendar for all the fun stuff you do with friends.,B2B,B2B -> Productivity,Calendar
Astek Diagnostics,One-hour antibiotic sensitivity testing,Healthcare,Healthcare -> Diagnostics,Microfluidics|Medical Devices
Aster,Automating open-ended research.,B2B,B2B -> Productivity,
Asteroid,"The integration layer for healthcare: EHRs, payer portals & more",B2B,B2B,Artificial Intelligence|Robotic Process Automation|Health Tech|B2B|Automation
Astor,AI advisor for retail investors,Fintech,Fintech -> Consumer Finance,Fintech|Investing|Consumer Finance|AI
Astraea,AI Operating System for Clinical Development,B2B,B2B,
Astranis,Advanced satellites for high orbits.,Industrials,Industrials -> Aviation and Space,Space Exploration|Satellites
Astro,The world's first AI energy developer,Industrials,Industrials -> Energy,Solar Power|Energy|Renewable Energy|ClimateTech|AI
Astro Mechanica,Supersonics for the new Jet Age,Industrials,Industrials -> Aviation and Space,
AstroForge,We Mine Asteroids,Industrials,Industrials -> Manufacturing and Robotics,Hard Tech|Robotics|Space Exploration|Satellites
Async,AI agents that run small businesses,B2B,B2B,B2B|AI
Athelas,"Extensible, Integrated Technology that Simplifies Health Systems",Healthcare,Healthcare,SaaS|Health Tech|Telehealth|Healthcare|AI
AthenaHQ,"Be the Answer in AI Search - AI SEO across SEO, GEO & AEO",B2B,B2B -> Marketing,
Atla,The improvement engine for AI agents,B2B,B2B,AIOps|Artificial Intelligence|Developer Tools|Analytics|AI
Atlas,"AI contract agent: Fill a template, get signed, and run next actions.",B2B,B2B,B2B|AI
Atlas,Modern customer support platform replacement for Intercom and Zendesk,B2B,B2B -> Operations,SaaS|B2B|Customer Success|Customer Service|Customer Support
Atlas,Modern spend management & concierge.,Fintech,Fintech -> Consumer Finance,Fintech
Atlas,"Operating system for restaurants, focusing on Southeast Asia",B2B,B2B,Restaurant Tech
Atlas Discovery,AI-native pharma company,Healthcare,Healthcare -> Drug Discovery and Delivery,AI-powered Drug Discovery|Drug discovery|Biotechnology
AtlasGrid,Accelerate Product Iteration,B2B,"B2B -> Engineering, Product and Design",
Atlia,The AI-native property management company,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Artificial Intelligence|Real Estate|Big Data
Atlog,Outbound voice and text AI without a prompt,B2B,B2B -> Operations,
Atmana,Apps to control technology addictions/ helping startups hire engineers,Consumer,Consumer,Mental Health Tech
Atmeto,We develop ML that optimizes how batteries in the grid store energy,Industrials,Industrials -> Energy,Energy Storage|Reinforcement Learning|Climate|Energy|ClimateTech
Atmo,Ultra-precise AI weather forecasting.,Industrials,Industrials,Artificial Intelligence|Machine Learning|Weather|Climate|AI
Atmos,"The entire homebuilding process, all online",Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Housing|Proptech
AtoB,Modernizing global transportation payments.,Fintech,Fintech,Fintech|SaaS|Payments|Supply Chain|Transportation
Atomarine,Floating nuclear powered data centers at sea.,Industrials,Industrials -> Energy,Hard Tech|Energy
Atomic,API that lets companies embed investment accounts into their services,B2B,B2B -> Retail,Artificial Intelligence|Fintech
Atomic Alchemy,We produce cancer-curing materials used in nuclear medicine.,Industrials,Industrials -> Manufacturing and Robotics,Hard Tech|Small Modular Reactors|Medical Devices
Atomic Industries,Software orchestrated mass production of plastics,Industrials,Industrials -> Manufacturing and Robotics,Artificial Intelligence|Hard Tech|Manufacturing
Atomized,Enabling teams to deploy without needing a cloud expert,B2B,B2B -> Infrastructure,Developer Tools|B2B|DevOps
